dia,franja,tipo,uso_armas,barrio
Miércoles,21,Lesiones por siniestro vial,,Retiro
Martes,17,Lesiones por siniestro vial,,Saavedra
Jueves,0,Lesiones por siniestro vial,,Chacarita
Jueves,5,Lesiones por siniestro vial,,Retiro
Jueves,5,Lesiones por siniestro vial,,Parque Avellaneda
Jueves,7,Lesiones por siniestro vial,,Flores
Jueves,8,Lesiones por siniestro vial,,
Jueves,8,Lesiones por siniestro vial,,Villa Del Parque
Jueves,8,Lesiones por siniestro vial,,Palermo
Jueves,8,Lesiones por siniestro vial,,Monserrat
Domingo,7,Lesiones por siniestro vial,,Recoleta
Jueves,19,Lesiones por siniestro vial,,San Cristóbal
Martes,17,Lesiones por siniestro vial,,Constitución
Martes,17,Lesiones por siniestro vial,,Constitución
Jueves,10,Lesiones por siniestro vial,,Villa Crespo
Jueves,10,Lesiones por siniestro vial,,Balvanera
Jueves,10,Lesiones por siniestro vial,,Villa Devoto
Jueves,11,Lesiones por siniestro vial,,Saavedra
Jueves,12,Lesiones por siniestro vial,,Nuñez
Jueves,13,Lesiones por siniestro vial,,Barracas
Jueves,18,Lesiones por siniestro vial,,Villa Devoto
Jueves,13,Lesiones por siniestro vial,,Villa Devoto
Jueves,15,Lesiones por siniestro vial,,Caballito
Jueves,15,Lesiones por siniestro vial,,
Jueves,15,Lesiones por siniestro vial,,Mataderos
Jueves,17,Lesiones por siniestro vial,,Parque Patricios
Jueves,18,Lesiones por siniestro vial,,Caballito
Jueves,20,Lesiones por siniestro vial,,Balvanera
Jueves,19,Lesiones por siniestro vial,,
Jueves,18,Lesiones por siniestro vial,,Caballito
Viernes,19,Lesiones por siniestro vial,,Caballito
Jueves,20,Lesiones por siniestro vial,,Palermo
Jueves,20,Lesiones por siniestro vial,,Recoleta
Jueves,21,Lesiones por siniestro vial,,Balvanera
Jueves,21,Lesiones por siniestro vial,,Balvanera
Jueves,20,Lesiones por siniestro vial,,Villa Urquiza
Jueves,19,Lesiones por siniestro vial,,Villa Devoto
Jueves,21,Lesiones por siniestro vial,,Villa Soldati
Viernes,0,Lesiones por siniestro vial,,Boca
Viernes,0,Lesiones por siniestro vial,,Belgrano
Viernes,4,Lesiones por siniestro vial,,San Cristóbal
Viernes,6,Lesiones por siniestro vial,,Vélez Sársfield
Viernes,6,Lesiones por siniestro vial,,Villa Urquiza
Viernes,8,Lesiones por siniestro vial,,Colegiales
Viernes,8,Lesiones por siniestro vial,,Villa Pueyrredón
Viernes,6,Lesiones por siniestro vial,,Floresta
Viernes,8,Lesiones por siniestro vial,,Monserrat
Viernes,11,Lesiones por siniestro vial,,Belgrano
Lunes,22,Lesiones por siniestro vial,,Caballito
Viernes,9,Lesiones por siniestro vial,,Recoleta
